Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId,Month & Year,Price Category,Order Number,Shipping Fee Paid by Seller,Payment Fee,Shipping Fee (Paid By Customer),Item Price Credit,Auto. Shipping fee subsidy (by Lazada),Promotional Charges Vouchers,Shipping Fee Voucher (by Lazada),Shipping Fee Subsidy (By Seller),Free Shipping Max Fee,Reversal Item Price,Shipping Fee Refund to Customer,Lazada Bonus,Lazada Bonus - LZD co-fund,Shipping Fee Voucher Refund to Laz,Reversal of Free Shipping Max Fee,Commission,Reversal Commission,Sponsored Product Fee,Sponsored Discovery - Top up,,,,,Actual,Needed,Difference
27-Feb-22,Orders-Lazada Fees,Commission,515373157698586,RMJ,Pirelli Diablo Rosso Sport 80/90 x 14 Tubeless Tire,PIR-ANG-8090-x14,1724428061_PH-7437544222,-19.44,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,360492107508408,448441504203184,Delivered,LEX PH,standard,Dropshipping,520707149874497,,,February 2022, ,360565915785462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Subsidy (By Seller),0,,January 2022,185964.08,0,185964.08
27-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,500973993401021,RMJ,Pirelli Diablo Rosso Sport 80/90 x 14 Tubeless Tire,PIR-ANG-8090-x14,1724428061_PH-7437544222,-60,4.45,0,No,29 Mar 2021 - 04 Apr 2021,paid,411394625492887,378773850232715,Delivered,LEX PH,standard,Dropshipping,428796216341332,,,February 2022, ,360883548776834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
27-Feb-22,Orders-Lazada Fees,Payment Fee,470035635015220,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-44.05,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,441237295960058,386222934302092,Delivered,QuadX,standard,Dropshipping,389892398516923,,,February 2022, ,360538601103308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
27-Feb-22,Orders-Sales,Item Price Credit,454433045694310,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,1899,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,451172912199139,429184322994814,Delivered,QuadX,standard,Dropshipping,547839979136029,,,February 2022,Low - Medium,359994065436095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
27-Feb-22,Orders-Lazada Fees,Commission,551413233541855,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-18.93,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,368889322587202,396178716496334,Delivered,QuadX,standard,Dropshipping,502036843469062,,,February 2022, ,359212024893746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
27-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,460037730395829,RMJ,SEC YAMAHA GRAVIS OWL BRACKET,2424172025-1634191718296-0,2424172025_PH-11046276804,-60,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,397944268310859,358374272289929,Delivered,QuadX,standard,Dropshipping,474590130315174,,,February 2022, ,361391576985462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Item Price Credit,188837.86,,,,,
27-Feb-22,Other Services-Marketing Fees,Sponsored Discovery - Top up,P4P_GMV_AUTO_TOP_UP_159560714_1645893830832,RMJ,,,,-500,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,430932779862656,393017107961125,Delivered,QuadX,standard,Dropshipping,383909724623087,,,February 2022, ,361387367085462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee (Paid By Customer),0,,,,,
26-Feb-22,Orders-Lazada Fees,Payment Fee,492447880630462,RMJ,HANSA HS-PN-138 GLOW PLUG for NISSAN TERRANO TD27 - 11V,2329997126-1631167564878-0,2329997126_PH-10570646706,-4.21,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,461545411532889,371181083484620,Delivered,QuadX,standard,Dropshipping,418130440567853,,,February 2022, ,360589302445563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Lazada Bonus - LZD co-fund,0,,,,,
26-Feb-22,Orders-Sales,Item Price Credit,531118207650886,RMJ,HANSA HS-PN-138 GLOW PLUG for NISSAN TERRANO TD27 - 11V,2329997126-1631167564878-0,2329997126_PH-10570646706,150,0.49,0,No,29 Mar 2021 - 04 Apr 2021,paid,414435120690486,380158307795257,Delivered,QuadX,standard,Dropshipping,446407192820720,,,February 2022,Low,361374792785462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Shipping Fee Voucher (by Lazada),0,,,,,
26-Feb-22,Orders-Lazada Fees,Commission,528092228532895,RMJ,HANSA HS-PN-138 GLOW PLUG for NISSAN TERRANO TD27 - 11V,2329997126-1631167564878-0,2329997126_PH-10570646706,-1.5,0,0,No,29 Mar 2021 - 04 Apr 2021,paid,460269272102443,363556312857411,Delivered,QuadX,standard,Dropshipping,398114086196012,,,February 2022, ,357386788014595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Auto. Shipping fee subsidy (by Lazada),0,,,,,
26-Feb-22,Orders-Marketing Fees,Free Shipping Max Fee,457864014889206,RMJ,HANSA HS-PN-138 GLOW PLUG for NISSAN TERRANO TD27 - 11V,2329997126-1631167564878-0,2329997126_PH-10570646706,-6,5.97,0,No,29 Mar 2021 - 04 Apr 2021,paid,372490419388832,419379160784499,Delivered,QuadX,standard,Dropshipping,360084149739485,,,February 2022, ,371969978601231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Reversal of Free Shipping Max Fee,315,,,,,
