Transaction Date,Transaction Type,Fee Name,Transaction Number,Store,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
09-Sep-2022,Orders-Lazada Fees,Payment Fee,476782545006064,SEC,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-30.07,3.22,0.00,No,09 Aug 2022 - 09 Aug 2022,paid,518175413962368,531471599422541,Delivered,J&T Express PH,standard,Dropshipping,429935231786401,,
09-Sep-2022,Orders-Sales,Item Price Credit,475519442024211,SEC,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,-33.60,3.60,0.00,No,09 Aug 2022 - 09 Aug 2022,paid,524875290053259,535168981511680,Delivered,J&T Express PH,standard,Dropshipping,543768367643247,,
09-Sep-2022,Orders-Lazada Fees,Commission,503215874700992,SEC,Back Door  Stay Assy NISSAN URVAN ESCAPADE (LH & RH)  90440-VH401,2315334967-1630728591296-0,2315334967_PH-10492705251,"1,500.00",0.00,0.00,No,09 Aug 2022 - 09 Aug 2022,paid,518015802155072,514131768616943,Delivered,J&T Express PH,standard,Dropshipping,470275248999266,,
09-Sep-2022,Orders-Lazada Fees,Payment Fee,513262116864435,SEC,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-10.64,1.14,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,546844936770694,535914120082616,Delivered,LEX PH,standard,Dropshipping,427748200542676,commission program:107-49742,
09-Sep-2022,Orders-Sales,Item Price Credit,461374813492832,SEC,HANSA HS-PZ-39 GLOW PLUG for MAZDA BONGO WL - 11V,P03-A1-B001-0305,2329880020_PH-10570166067,-3.75,0.40,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,521799229934513,544236344292213,Delivered,LEX PH,standard,Dropshipping,533901884210284,commission program:107-49742,
09-Sep-2022,Orders-Lazada Fees,Commission,503367409716236,SEC,HANSA HS-PZ-39 GLOW PLUG for MAZDA BONGO WL - 11V,P03-A1-B001-0305,2329880020_PH-10570166067,-3.75,0.40,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,541295091971359,544811359676547,Delivered,LEX PH,standard,Dropshipping,551291337522154,commission program:107-49742,
09-Sep-2022,Orders-Lazada Fees,Payment Fee,519187332330139,SEC,HANSA HS-PZ-39 GLOW PLUG for MAZDA BONGO WL - 11V,P03-A1-B001-0305,2329880020_PH-10570166067,-3.75,0.40,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,509559870980360,525698260128425,Delivered,LEX PH,standard,Dropshipping,388955394180535,commission program:107-49742,
09-Sep-2022,Orders-Sales,Item Price Credit,517973649900369,SEC,MAG 1 Pressure Washer Pump Oil 1 Quart,P01-A1-B009-0127,2889256444_PH-14035434982,-6.09,0.65,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,535368038069940,527281950754015,Returned,LEX PH,standard,Dropshipping,478112185429413,,
09-Sep-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),541012795988251,SEC,MAG 1 Pressure Washer Pump Oil 1 Quart,P01-A1-B009-0127,2889256444_PH-14035434982,-7.06,0.76,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,541264731112445,543923979071108,Returned,LEX PH,standard,Dropshipping,369822904098780,,
09-Sep-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),492884443406119,SEC,MAG 1 Pressure Washer Pump Oil 1 Quart,P01-A1-B009-0127,2889256444_PH-14035434982,304.00,0.00,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,524448677149553,511445837124435,Returned,LEX PH,standard,Dropshipping,493848217056360,,
09-Sep-2022,Orders-Lazada Fees,Commission,546698724730828,SEC,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-4.27,0.46,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,539007221285668,513095728273275,Delivered,LEX PH,standard,Dropshipping,510214375079771,,
09-Sep-2022,Orders-Lazada Fees,Payment Fee,480140747905442,SEC,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-6.14,0.66,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,522865640538291,509202046838739,Delivered,LEX PH,standard,Dropshipping,503421454823545,,
09-Sep-2022,Orders-Sales,Item Price Credit,480234063357643,FORNIS,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,213.00,0.00,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,509903320872614,509942661155693,Delivered,LEX PH,standard,Dropshipping,364613852447577,,
09-Sep-2022,Orders-Lazada Fees,Commission,473788772559749,FORNIS,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0107,2874146421_PH-13951160316,-5.96,0.64,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,519788574104843,513111987537836,Returned,LEX PH,standard,Dropshipping,481110738118229,,
09-Sep-2022,Orders-Lazada Fees,Payment Fee,505086835391868,PARTS PRO,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0107,2874146421_PH-13951160316,-6.65,0.71,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,527308425329895,510118904066908,Returned,LEX PH,standard,Dropshipping,511377390529096,,
09-Sep-2022,Orders-Sales,Item Price Credit,527106431400410,PARTS PRO,MAG 1 High Temp / Wheel Bearing Grease 14oz,P01-A1-B009-0107,2874146421_PH-13951160316,297.00,0.00,0.00,No,08 Aug 2022 - 08 Aug 2022,paid,537640276219006,521363036012933,Returned,LEX PH,standard,Dropshipping,426177978184203,,
09-Sep-2022,Orders-Lazada Fees,Commission,516733878498728,RMJ,Mizzle GOLD M89 Motorcycle Tire 120/80 x 17 (Tubeless),MIZ-M89-1208-X17,1742860246_PH-7479724791,-100.00,10.71,0.00,No,07 Aug 2022 - 07 Aug 2022,paid,529824271963352,514464702134000,Delivered,J&T Express PH,standard,Dropshipping,552345978039529,commission program:107-49742,
09-Sep-2022,Orders-Lazada Fees,Payment Fee,467792465315702,RMJ,Mizzle GOLD M89 Motorcycle Tire 80/80 x 17 Tubeless,MIZ-M89-808-X17,1724016314_PH-7436382195,-27.64,2.96,0.00,No,07 Aug 2022 - 07 Aug 2022,paid,536267049105266,523921700913843,Delivered,J&T Express PH,standard,Dropshipping,404285073597789,,
09-Sep-2022,Orders-Sales,Item Price Credit,469403792863382,RMJ,Mizzle GOLD M89 Motorcycle Tire 80/80 x 17 Tubeless,MIZ-M89-808-X17,1724016314_PH-7436382195,-38.73,4.15,0.00,No,07 Aug 2022 - 07 Aug 2022,paid,511598706494169,536161535300129,Delivered,J&T Express PH,standard,Dropshipping,539161797067979,,
09-Sep-2022,Orders-Lazada Fees,Commission,465314199580224,RMJ,Mizzle GOLD M89 Motorcycle Tire 80/80 x 17 Tubeless,MIZ-M89-808-X17,1724016314_PH-7436382195,"1,379.00",0.00,0.00,No,07 Aug 2022 - 07 Aug 2022,paid,535174056492030,541521160729423,Delivered,J&T Express PH,standard,Dropshipping,503591522494065,,
09-Sep-2022,Orders-Lazada Fees,Payment Fee,519634860082541,PARTS PRO,MAG 1 - Carburetor & Fuel Injector Cleaner 355 ml,P01-A1-B009-0001,2873467245_PH-13947989472,-3.53,0.38,0.00,No,06 Aug 2022 - 06 Aug 2022,paid,540845434258217,533221896255586,Delivered,LEX PH,standard,Dropshipping,415736130663741,,
09-Sep-2022,Orders-Sales,Item Price Credit,542235341582164,PARTS PRO,MAG 1 - Carburetor & Fuel Injector Cleaner 355 ml,P01-A1-B009-0001,2873467245_PH-13947989472,-3.95,0.42,0.00,No,06 Aug 2022 - 06 Aug 2022,paid,532426170551857,517166771495118,Delivered,LEX PH,standard,Dropshipping,408718233066389,,
08-Sep-2022,Orders-Lazada Fees,Payment Fee,493156783224102,PARTS PRO,MAG 1 - Carburetor & Fuel Injector Cleaner 355 ml,P01-A1-B009-0001,2873467245_PH-13947989472,176.00,0.00,0.00,No,06 Aug 2022 - 06 Aug 2022,paid,513942525436005,544598687360534,Delivered,LEX PH,standard,Dropshipping,414266775353988,,
08-Sep-2022,Orders-Sales,Item Price Credit,484890832165595,REY MOTOPARTS,PIRELLI DIABLO ROSSO III 140/70X17,2957165956-1650347513621-0,2957165956_PH-14450642307,-100.00,10.71,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,522179710285965,517706681318758,Delivered,J&T Express PH,standard,Dropshipping,500417562671839,commission program:107-49742,
08-Sep-2022,Orders-Lazada Fees,Commission,542543555720852,PARTS PRO,JOHNSEN'S - USA  Smoke Eliminator w/ Leak Stop 14.5 oz.,P01-A1-B012-0005,2873617846_PH-13948868341,-10.64,1.14,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,530071009274426,545071183124174,Delivered,LEX PH,standard,Dropshipping,373390023318452,commission program:107-49742,
08-Sep-2022,Orders-Lazada Fees,Payment Fee,539577941849644,PARTS PRO,MAG 1 Power Steering Fluid with Stop Leak 1 Quart,P01-A1-B009-0120,2889278245_PH-14035362676,-18.13,1.94,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,512062675240914,509564855097516,Delivered,LEX PH,standard,Dropshipping,420686398511959,commission program:107-49742,
08-Sep-2022,Orders-Sales,Item Price Credit,466099012070435,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,-8.79,0.94,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,524514972173299,512177670835020,Delivered,LEX PH,standard,Dropshipping,382152033359324,commission program:107-49742,
08-Sep-2022,Orders-Lazada Fees,Commission,465629404134822,PARTS PRO,JS Oil Filters OE42001,P01-A1-B016-0573,2957310995_PH-14451293774,-8.79,0.94,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,531877439518564,517623420019643,Delivered,LEX PH,standard,Dropshipping,445960104868819,commission program:107-49742,
08-Sep-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),491442358604607,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,-15.43,1.65,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,520193653891779,535775668563658,Delivered,LEX PH,standard,Dropshipping,502786409498581,commission program:107-49742,
08-Sep-2022,Orders-Logistics,Shipping Fee Subsidy (By Seller),516225488935367,PARTS PRO,JS Cabin Filters AC3504,P01-A1-B016-0449,2957302116_PH-14450657908,-15.43,1.65,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,535810189624809,544426602669463,Delivered,LEX PH,standard,Dropshipping,418039169657991,commission program:107-49742,
07-Sep-2022,Orders-Lazada Fees,Payment Fee,545739425377150,PARTS PRO,MAG 1 - Super Concentrated Fuel Injector Cleaner 12 oz.,P01-A1-B009-0002,2873382811_PH-13947978512,-3.63,0.39,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,527860691532625,532277234727352,Delivered,LEX PH,standard,Dropshipping,415598346885691,,
07-Sep-2022,Orders-Sales,Item Price Credit,498645471807551,PARTS PRO,MAG 1 - Super Concentrated Fuel Injector Cleaner 12 oz.,P01-A1-B009-0002,2873382811_PH-13947978512,-4.61,0.49,0.00,No,05 Aug 2022 - 05 Aug 2022,paid,511871638543176,540449521353310,Delivered,LEX PH,standard,Dropshipping,399037360013798,,
